Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
"Verify ""Empty spam"" functionality to permanently delete all spam comments",RE-39,10052,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,06-09-21 17:15,09-09-21 11:07,09-09-21 11:07,08-09-21 22:18,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,RE-36,,,,,,,,{},,,,,,,0|i000bz:,,RE Sprint 1,,,,,,,,Done
"Verify ""not spam"" functionality to restore spam comments in all comments section",RE-38,10051,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,06-09-21 17:14,09-09-21 11:07,09-09-21 11:08,08-09-21 22:18,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,RE-36,,,,,,,,{},,,,,,,0|i000br:,,RE Sprint 1,,,,,,,,Done
"Verify ""mark as spam"" functionality",RE-37,10050,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,06-09-21 17:10,09-09-21 11:08,09-09-21 11:08,08-09-21 22:20,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,RE-36,,,,,,,,{},,,,,,,0|i000bj:,,RE Sprint 1,,,,,,,,Done
"As an admin I should be able to perform ""mark as spam"" function to spam irrelevant commments",RE-36,10049,Story,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,06-09-21 17:06,09-09-21 10:44,09-09-21 10:44,08-09-21 21:54,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000bb:,,RE Sprint 1,,,,,,,,Done
"Verify ""mark as spam"" for comments in trash comment section",RE-35,10048,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,06-09-21 16:50,09-09-21 11:09,09-09-21 11:09,08-09-21 22:21,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,RE-9,,,,,,,,{},,,,,,,0|i000b3:,,RE Sprint 1,,,,,,,,Done
"Verify ""Empty Trash"" functionality to permanently delete all comments from trash",RE-34,10047,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,06-09-21 16:39,09-09-21 11:09,09-09-21 11:09,08-09-21 22:25,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,RE-9,,,,,,,,{},,,,,,,0|i000av:,,RE Sprint 1,,,,,,,,Done
Verify restore functionality to restore comments from trash to all comments section,RE-33,10046,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,06-09-21 16:38,09-09-21 11:10,09-09-21 11:10,08-09-21 22:25,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,RE-9,,,,,,,,{},,,,,,,0|i000an:,,RE Sprint 1,,,,,,,,Done
"Verify ""Move to Trash"" functionality to delete comments",RE-32,10045,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,06-09-21 16:37,09-09-21 11:10,09-09-21 11:10,08-09-21 22:26,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,RE-9,,,,,,,,{},,,,,,,0|i000af:,,RE Sprint 1,,,,,,,,Done
Verify quick edit functionality,RE-31,10044,Test,Block,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,06-09-21 16:31,08-09-21 23:00,09-09-21 11:11,,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,RE-7,,,,,,,,{},,,,,,,0|i000df:,,RE Sprint 1,,,,,,,,In Progress
Verify edit functionality,RE-30,10043,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,06-09-21 16:31,09-09-21 11:11,09-09-21 11:11,08-09-21 22:27,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,RE-7,,,,,,,,{},,,,,,,0|i0009z:,,RE Sprint 1,,,,,,,,Done
