h2. Environment",,Shramana Das,612ef868b7859000710af957,,,,,,,,,RE-46,,,08/Sep/21 8:48 PM;ug:2fe4737f-44c9-4a72-b04b-cc0c3545dec3;ss_reply.png;https://corporateola24.atlassian.net/secure/attachment/10000/ss_reply.png,,,,,,{},,RE-1,,,,,0|i000dn:,,RE Sprint 1,,,,,,,,To Do
Verify view post type attachment functionality,RE-23,10036,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,06/Sep/21 1:03 PM,09/Sep/21 11:13 AM,09/Sep/21 3:15 PM,08/Sep/21 10:34 PM,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,RE-22,,,,,,,,{},,,,,,,0|i0008f:,,RE Sprint 1,,,,,,,,Done
As I user I want to view the attachment type so that I'm able to view attachment type for the respective comment,RE-22,10035,Story,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,06/Sep/21 12:00 PM,09/Sep/21 3:15 PM,09/Sep/21 3:15 PM,08/Sep/21 9:55 PM,,0,"* Given that I’m a registered user I navigate to the comments page , and if I select the “view the post” for the respective comment, the post showing the attachment post and the comments are displayed.
* Given that I’m a registered user I navigate to the comments page , and if I select the “view the property” for the respective comment, the post showing  the attachment property and  the comments are displayed.
* Given that I’m a registered user I navigate to the comments page , and if I select the “view the attachment” for the respective comment, the post showing  the attachment image and  the comments are displayed.",,Shramana Das,612ef868b7859000710af957,,,,,,,,,,RE-58,,,,,,,,{},,RE-1,,,,,0|i00087:,,RE Sprint 1,,,,,,,,Done
Verify user can perform select all functionality,RE-21,10034,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,06/Sep/21 8:49 AM,09/Sep/21 11:14 AM,09/Sep/21 12:50 PM,08/Sep/21 10:34 PM,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,RE-3,,,,,,,,{},,,,,,,0|i0007z:,,RE Sprint 1,,,,,,,,Done
Verify unapprove functionality,RE-20,10033,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,03/Sep/21 4:47 PM,09/Sep/21 11:14 AM,09/Sep/21 3:03 PM,08/Sep/21 10:34 PM,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,RE-10,,,,,,,,{},,,,,,,0|i0007r:,,RE Sprint 1,,,,,,,,Done
Verify approve functionality,RE-19,10032,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,03/Sep/21 4:44 PM,09/Sep/21 11:14 AM,09/Sep/21 3:05 PM,08/Sep/21 10:34 PM,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,RE-10,,,,,,,,{},,,,,,,0|i0007j:,,RE Sprint 1,,,,,,,,Done
Verify search functionality of comments by any string of required comment,RE-18,10031,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,03/Sep/21 10:21 AM,09/Sep/21 2:40 PM,09/Sep/21 2:40 PM,08/Sep/21 10:32 PM,,0,"Verify when user enters the string
in the search comment box & clicks search comment
similar results should appear under the result section",,Shramana Das,612ef868b7859000710af957,,,,,,,,,,RE-4,,,,,,,,{},,,,,,,0|i0007b:,,RE Sprint 1,,,,,,,,Done
Verify search functionality of comments by IP address of author,RE-17,10030,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,03/Sep/21 10:11 AM,09/Sep/21 2:36 PM,09/Sep/21 2:38 PM,08/Sep/21 10:30 PM,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,RE-4,,,,,,,,{},,,,,,,0|i00073:,,RE Sprint 1,,,,,,,,Done
Verify search functionality of comments by email id of author,RE-16,10029,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,03/Sep/21 10:10 AM,09/Sep/21 2:39 PM,09/Sep/21 2:39 PM,08/Sep/21 10:30 PM,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,RE-4,,,,,,,,{},,,,,,,0|i0006v:,,RE Sprint 1,,,,,,,,Done
Verify search functionality of comments by name of author ,RE-15,10028,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,03/Sep/21 9:54 AM,09/Sep/21 2:28 PM,09/Sep/21 2:38 PM,08/Sep/21 10:29 PM,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,RE-4,,,,,,,,{},,,,,,,0|i0006n:,,RE Sprint 1,,,,,,,,Done
Verify Bulk actions are not perfomed  for null selection,RE-14,10027,Test,Done,RE,Real estate,software,Shramana Das,612ef868b7859000710af957,,Medium,Done,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,Shramana Das,612ef868b7859000710af957,03/Sep/21 8:57 AM,09/Sep/21 11:17 AM,09/Sep/21 12:49 PM,08/Sep/21 10:27 PM,,0,,,Shramana Das,612ef868b7859000710af957,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006f:,,RE Sprint 1,,,,,,,,Done
